tag,config_id,variant,label,seed,run,offered,refused,received,pdr,goodput_kbps,delay_ms,jitter_ms,hops,control_packets,control_bytes,nrl
aodv_n50_v10_p0_f10_d3d689e9_s1_r1,d3d689e9,aodv,aodv-no-hello,1,1,7188,0,5586,0.7771285475792988,127.36717462173375,19.979845506623704,17.52951918938307,3.206050841389187,40257,2001848,7.206766917293233
aodv_n50_v10_p0_f10_d3d689e9_s1_r2,d3d689e9,aodv,aodv-no-hello,1,2,7179,0,6061,0.8442680039002647,138.43084364459202,17.897724467909587,16.41036820360271,2.7967332123411976,31556,1574308,5.206401583897047
aodv_n50_v10_p0_f10_d3d689e9_s1_r3,d3d689e9,aodv,aodv-no-hello,1,3,7182,0,4193,0.5838206627680312,95.69606739894614,11.692742666348677,10.307177384652162,1.9926067254948725,9810,491972,2.3396136417839255
aodv_n50_v10_p0_f10_d3d689e9_s1_r4,d3d689e9,aodv,aodv-no-hello,1,4,7182,0,3990,0.5555555555555556,91.09990659840331,9.60267493734336,6.76073351758794,2.174436090225564,7995,400302,2.0037593984962405
aodv_n50_v10_p0_f10_d3d689e9_s1_r5,d3d689e9,aodv,aodv-no-hello,1,5,7183,0,6633,0.9234303215926493,151.3968459863321,10.130722146841551,10.080397101011627,2.516206844565054,35628,1774818,5.371325192220715
aodv_n50_v10_p0_f10_d3d689e9_s1_r6,d3d689e9,aodv,aodv-no-hello,1,6,7186,0,6309,0.8779571388811578,143.9837135903294,17.22416706292598,15.7019066518495,3.3441115866222857,34736,1733036,5.50578538595657
aodv_n50_v10_p0_f10_d3d689e9_s1_r7,d3d689e9,aodv,aodv-no-hello,1,7,7194,0,5865,0.8152627189324437,133.667356845849,17.623860528559252,14.373687959009393,3.112531969309463,39004,1928860,6.6502983802216535
aodv_n50_v10_p0_f10_d3d689e9_s1_r8,d3d689e9,aodv,aodv-no-hello,1,8,7190,0,6736,0.9368567454798331,153.60829590932536,12.520608818289785,9.626092179601548,2.378414489311164,33691,1691358,5.001633016627078
aodv_n50_v10_p0_f10_d3d689e9_s1_r9,d3d689e9,aodv,aodv-no-hello,1,9,7186,0,6016,0.8371834121903702,137.23277338854913,9.96252659574468,8.938005328005328,2.319813829787234,27621,1387116,4.59125664893617
aodv_n50_v10_p0_f10_d3d689e9_s1_r10,d3d689e9,aodv,aodv-no-hello,1,10,7186,0,6588,0.9167826328973003,150.32785085492603,19.548292349726776,14.545571602310734,2.8714329083181545,39138,1961356,5.9408014571949
aodv-d06200c6_n50_v10_p0_f10_d3d689e9_s1_r1,d3d689e9,aodv-d06200c6,aodv-ns3-default,1,1,7188,0,6126,0.8522537562604341,139.71287934185733,24.438571661769508,22.699203727926747,3.343454129937969,67890,3276896,11.082272282076396
aodv-d06200c6_n50_v10_p0_f10_d3d689e9_s1_r2,d3d689e9,aodv-d06200c6,aodv-ns3-default,1,2,7179,0,5767,0.8033152249616938,131.6973941733386,21.487907057395525,16.06403335070349,2.6552800416160913,49324,2368362,8.552800416160915
aodv-d06200c6_n50_v10_p0_f10_d3d689e9_s1_r3,d3d689e9,aodv-d06200c6,aodv-ns3-default,1,3,7182,0,6131,0.853661932609301,139.94108939357946,15.095847333224599,13.088331971900018,2.3149567770347415,49590,2369806,8.088403196868374
aodv-d06200c6_n50_v10_p0_f10_d3d689e9_s1_r4,d3d689e9,aodv-d06200c6,aodv-ns3-default,1,4,7182,0,5686,0.7917014759120022,129.84511662102793,6.414493492789308,6.055543692741367,2.3251846640872316,35753,1716196,6.287900105522335
aodv-d06200c6_n50_v10_p0_f10_d3d689e9_s1_r5,d3d689e9,aodv-d06200c6,aodv-ns3-default,1,5,7183,0,6579,0.9159125713490185,150.16472805886454,13.52112327101383,9.289872126655505,2.4204286365709073,37958,1816668,5.769569843441253
aodv-d06200c6_n50_v10_p0_f10_d3d689e9_s1_r6,d3d689e9,aodv-d06200c6,aodv-ns3-default,1,6,7186,0,6512,0.9062065126635124,148.62185036376712,15.227999078624082,16.015587511534914,3.4146191646191646,48763,2356274,7.488175675675675
aodv-d06200c6_n50_v10_p0_f10_d3d689e9_s1_r7,d3d689e9,aodv-d06200c6,aodv-ns3-default,1,7,7194,0,6509,0.9047817625799277,148.33913342860995,19.424876325088345,17.46246807201108,3.042710093716393,58181,2811246,8.938546627746197
