tag,config_id,variant,label,seed,run,offered,refused,received,pdr,goodput_kbps,delay_ms,jitter_ms,hops,control_packets,control_bytes,nrl
aodv-fa80fdc3_n50_v10_p0_f10_d3d689e9_s1_r11,d3d689e9,aodv-fa80fdc3,aodv-tuned,1,11,7182,0,6530,0.9092174881648566,149.0616186838109,25.25071209800919,18.60555981595092,2.027105666156202,18851,951408,2.8868300153139357
aodv-fa80fdc3_n50_v10_p0_f10_d3d689e9_s1_r12,d3d689e9,aodv-fa80fdc3,aodv-tuned,1,12,7184,0,6283,0.8745824053452116,143.39960701668213,24.60817252904663,20.897326000318827,2.6777017348400447,21354,1079736,3.3986948909756487
aodv-fa80fdc3_n50_v10_p0_f10_d3d689e9_s1_r13,d3d689e9,aodv-fa80fdc3,aodv-tuned,1,13,7191,0,6675,0.9282436378806842,152.18997214932776,27.005406741573033,22.158729182295577,2.998352059925094,20099,1015376,3.0110861423220974
aodv-fa80fdc3_n50_v10_p0_f10_d3d689e9_s1_r14,d3d689e9,aodv-fa80fdc3,aodv-tuned,1,14,7183,0,6270,0.8728943338437979,143.1496860006749,28.57193301435407,19.346380191693296,3.031419457735247,19860,1001504,3.1674641148325358
aodv-fa80fdc3_n50_v10_p0_f10_d3d689e9_s1_r15,d3d689e9,aodv-fa80fdc3,aodv-tuned,1,15,7182,0,6829,0.9508493455861877,155.92756219778212,16.027094889442086,13.674021557413113,2.205154488212037,18424,927956,2.69790598916386
aodv-fa80fdc3_n50_v10_p0_f10_d3d689e9_s1_r16,d3d689e9,aodv-fa80fdc3,aodv-tuned,1,16,7185,0,6830,0.9505915100904663,155.86495283553666,12.299358711566619,9.796451612903224,1.9281112737920938,15594,779520,2.2831625183016104
aodv-fa80fdc3_n50_v10_p0_f10_d3d689e9_s1_r17,d3d689e9,aodv-fa80fdc3,aodv-tuned,1,17,7186,0,6159,0.8570832173671027,140.50169134243455,26.077536937814582,20.674486908440397,2.7986686150349085,21452,1086256,3.483032959896087
aodv-fa80fdc3_n50_v10_p0_f10_d3d689e9_s1_r18,d3d689e9,aodv-fa80fdc3,aodv-tuned,1,18,7183,0,6177,0.8599470973131004,141.00076441793564,22.493407803140684,18.36227176909356,2.2154767686579246,18747,942160,3.0349684312773193
aodv-fa80fdc3_n50_v10_p0_f10_d3d689e9_s1_r19,d3d689e9,aodv-fa80fdc3,aodv-tuned,1,19,7186,0,6689,0.9308377400500975,152.57866208349765,24.324625504559723,20.452741428357538,3.0426072656600387,23406,1188176,3.49917775452235
aodv-fa80fdc3_n50_v10_p0_f10_d3d689e9_s1_r20,d3d689e9,aodv-fa80fdc3,aodv-tuned,1,20,7182,0,6402,0.8913951545530493,146.14900270125253,22.36451109028429,15.956163485607012,2.847547641362074,18951,952456,2.9601686972820995
aodv-fa80fdc3_n50_v10_p0_f10_d3d689e9_s1_r21,d3d689e9,aodv-fa80fdc3,aodv-tuned,1,21,7194,0,6593,0.9164581595774256,150.2798771327473,16.485942666464435,14.294362752544433,2.6937661155771275,20432,1031168,3.099044441073866
aodv-fa80fdc3_n50_v10_p0_f10_d3d689e9_s1_r22,d3d689e9,aodv-fa80fdc3,aodv-tuned,1,22,7190,0,6546,0.9104311543810848,149.29617009981968,20.313542621448214,17.83920746634027,2.4833486098380693,19296,972636,2.9477543538038495
aodv-fa80fdc3_n50_v10_p0_f10_d3d689e9_s1_r23,d3d689e9,aodv-fa80fdc3,aodv-tuned,1,23,7188,0,6695,0.9314134668892599,152.74012079512738,27.376743838685588,22.089537771129397,3.204182225541449,23584,1195016,3.5226288274831963
aodv-fa80fdc3_n50_v10_p0_f10_d3d689e9_s1_r24,d3d689e9,aodv-fa80fdc3,aodv-tuned,1,24,7184,0,6222,0.8660913140311804,141.99673815987535,19.52471166827387,17.345438828074695,2.2587592414014788,19948,1006096,3.206043072966892
aodv-fa80fdc3_n50_v10_p0_f10_d3d689e9_s1_r25,d3d689e9,aodv-fa80fdc3,aodv-tuned,1,25,7186,0,6625,0.9219315335374338,151.16923979621203,30.609107924528306,23.066643990929705,3.3704150943396227,22874,1158588,3.452679245283019
aodv-fa80fdc3_n50_v10_p0_f10_d3d689e9_s1_r26,d3d689e9,aodv-fa80fdc3,aodv-tuned,1,26,7182,0,6650,0.9259259259259259,151.80528903910414,21.323612030075186,17.57476656626506,2.691127819548872,18364,924560,2.7615037593984963
aodv-fa80fdc3_n50_v10_p0_f10_d3d689e9_s1_r27,d3d689e9,aodv-fa80fdc3,aodv-tuned,1,27,7188,0,6834,0.9507512520868113,155.88119752147446,15.312935323383087,12.235158264947245,2.950395083406497,18156,910164,2.656716417910448
aodv-fa80fdc3_n50_v10_p0_f10_d3d689e9_s1_r28,d3d689e9,aodv-fa80fdc3,aodv-tuned,1,28,7188,0,6323,0.8796605453533667,144.23651764882604,18.564178080025307,14.625763503880881,2.8885022932152458,18650,937492,2.9495492645895935
aodv-fa80fdc3_n50_v10_p0_f10_d3d689e9_s1_r29,d3d689e9,aodv-fa80fdc3,aodv-tuned,1,29,7185,0,6846,0.9528183716075157,156.2171940807992,20.882262635115396,17.005021942656523,2.5622261174408414,20239,1020828,2.9563248612328366
