config_id,variant,label,n,pdr_mean,pdr_std,pdr_ci95,goodput_kbps_mean,goodput_kbps_std,goodput_kbps_ci95,delay_ms_mean,delay_ms_std,delay_ms_ci95,jitter_ms_mean,jitter_ms_std,jitter_ms_ci95,hops_mean,hops_std,hops_ci95,nrl_mean,nrl_std,nrl_ci95,control_packets_mean,control_packets_std,control_packets_ci95
d3d689e9,aodv,aodv-no-hello,10,0.8068245739776906,0.1349071583321372,0.09650006259445469,132.28108288389862,22.12504739112791,15.826205848118512,14.618316508031336,4.2105664256304935,3.0118485086692366,12.427345911701401,3.697308536467331,2.6447114416397537,2.6712338497364176,0.4630794046347399,0.3312440354235077,4.9817641622627535,1.671113297403412,1.1953593848951403,29943.6,11725.630816482517,8387.428226486343
d3d689e9,aodv-0b45dc4d,aodv-h-hello2s,10,0.8262859351397454,0.10055779534573837,0.0719297157036959,135.47578303781725,16.473952182206723,11.78393671925932,11.53236582471543,2.1731062036392834,1.5544385284530404,10.449277156896041,2.2513880971612537,1.6104341310457828,2.620050739239158,0.3461624868848487,0.2476125215683416,4.739308837543647,1.1718189916009236,0.8382105696753244,28145.9,8128.379945871407,5814.288754322134
d3d689e9,aodv-1325cc99,aodv-h-destonly-hello2s,10,0.878666506302792,0.0500656258468982,0.035812302977738415,144.06396356619626,8.205898488363406,5.869738326421873,22.98542916764538,4.97452790459343,3.5583156602356008,17.680589806747054,3.395072116002465,2.4285195519449303,2.820541862648838,0.4482515550236426,0.32063756773637986,2.3422293521642934,0.32023494223446275,0.22906636202710445,14791.0,2181.602825651106,1560.5162234109584
d3d689e9,aodv-1f9f12ac,aodv-h-nograt,10,0.8705983560446713,0.07351996499370679,0.05258936079854221,142.743376974489,12.032479659373887,8.606919415183329,10.833799351242812,3.1677079503733947,2.2658843257182832,9.922798220081614,2.3664150600560103,1.6927137465726767,2.677437738203397,0.3663594025509264,0.2620595208980068,6.076373333429987,0.9419144522982226,0.6737581958521417,37824.8,5600.974038305996,4006.417094308399
d3d689e9,aodv-41503ccb,aodv-n-art10,10,0.823070702987828,0.04217382257754872,0.030167239225076668,134.93843916893,6.924713158672778,4.953297226937305,12.515699718442864,3.2280595497139015,2.3090542596642343,9.924161516257378,2.3874889855926664,1.70778807738314,2.70337583402809,0.41018144946208546,0.29340574686722287,3.3260528184163944,0.8572806095176532,0.6132189981779392,19756.1,5462.685998867428,3907.4986630934172
d3d689e9,aodv-4a702096,aodv-n-nblife5-art10,10,0.7833696710980667,0.07190799752720436,0.05143630885273858,128.42064131854877,11.80082875742523,8.441217855573928,13.933856597378636,5.588708717826874,3.9976436221768292,10.25717777302295,2.714398534256247,1.9416288334910792,2.6195630185181904,0.4138525289928517,0.29603169651205924,2.3319467996451824,0.7890168032358726,0.564389405585755,13171.0,4561.642491715262,3262.9757488501195
d3d689e9,aodv-69412d0e,aodv-h-art6,10,0.8501604539937537,0.0581365722383887,0.04158550909670376,139.3874745804745,9.531410094974312,6.817886331235032,12.836720816408482,4.050041617832281,2.8970239567922125,11.067356606913101,3.451140776402817,2.468625868801004,2.7078561949414826,0.4325949065884646,0.3094382542774577,6.063094495503455,1.5282831688955516,1.0931919646352835,36690.7,7829.924251797644,5600.801245461542
d3d689e9,aodv-7fa127f2,aodv-h-art10,10,0.8270862573130497,0.057440098787884156,0.04108731661826169,135.60129133393846,9.418605822071349,6.737196621877595,10.890058145968043,3.1699746589129596,2.2675057186721905,9.670518654321807,2.73261195381946,1.9546570237638445,2.635933186600849,0.3939879120550565,0.28182239285752175,5.4282129057643,1.2502526776484655,0.8943147505555362,31980.2,6325.086153124275,4524.379708518479
d3d689e9,aodv-c18a6026,aodv-h-destonly,10,0.8975101940723244,0.0460982988603257,0.03297444539278835,147.15138684117252,7.552091399493221,5.402065403941813,25.02684080776865,9.832539394978715,7.033286289685767,19.471174811002236,6.082035251335959,4.35052364686705,2.821507440607155,0.4139767329141569,0.296120540472073,3.3682045975282286,0.4118064405613875,0.2945681147114258,21670.0,2393.757993894398,1712.2723442004194
d3d689e9,aodv-c9330bac,aodv-h-ttl3,10,0.8636638195146638,0.06111371687758544,0.043715082112599044,141.60137864887633,10.019018774106488,7.166676333482416,15.011542543351467,3.9161288012759226,2.8012351540359255,14.195049080218265,4.222703884536748,3.0205305204962705,2.713572989016703,0.39833138005460683,0.28492930681980166,7.790964574640003,2.3132404841387766,1.6546775892042633,47698.9,11256.338998784442,8051.740407227448
d3d689e9,aodv-c99b603a,aodv-h-retries4,10,0.8718692649945595,0.03936917797871289,0.02816105673121278,142.9463453177267,6.450058912979191,4.613773624287649,26.90473264336081,25.135505453014936,17.979608195344994,15.007450532320899,5.953628686034438,4.258673505315414,2.723786705640597,0.4349376390685473,0.3111140277039015,7.847753459386139,1.570354169217895,1.1232856543601994,49124.6,9765.144229463394,6985.078042093893
d3d689e9,aodv-d06200c6,aodv-ns3-default,10,0.8688336602679115,0.043714067035094874,0.03126898718568551,142.4507758654158,7.165196870817438,5.125316959335584,16.60362026486188,5.586137873115172,3.995804678427165,14.073044599790382,4.880923381756154,3.491359670467566,2.700813051605967,0.4346749952346472,0.31092615667670953,7.966665259045357,1.5690847224508746,1.1223776099391896,49670.6,9660.97255513704,6910.56329271111
d3d689e9,aodv-f3b5c5b9,aodv-n-nblife5,10,0.7851686716410066,0.06485646219175077,0.04639229480877676,128.71871637920884,10.63341817262481,7.606160651053202,13.508158809372919,4.6122772309709585,3.299195142750618,10.702906432908277,3.4177819914203704,2.4447640894953007,2.5979103141043365,0.43447952918634847,0.3107863384036904,3.0234024218379663,0.7854397419896838,0.5618307078974412,17023.3,4338.5311403233645,3103.3825912962066
d3d689e9,aodv-fa80fdc3,aodv-h-destonly-art6,10,0.9021042875973663,0.03164936596067987,0.022639019560112224,147.906202349202,5.191578647156075,3.713573620616778,23.283112435077214,10.25118513665101,7.332746605770823,16.875082945261518,5.251001142894356,3.7560789600602584,2.8320662303434347,0.4136219695943904,0.29586677571276054,3.013085022225096,0.3643426265870059,0.2606169065166544,19494.8,2093.0689217297913,1497.187283896093
d3d689e9,odr,odr,10,0.9534710718030409,0.027924744576854878,0.01997477104192122,156.327853111491,4.588246245775462,3.2820056058554554,22.18024032227266,14.821752273253123,10.602106217426014,12.87958762816569,5.079187675944465,3.6331795489377194,2.8383642968565974,0.4114297789742623,0.29429868596365677,1.0814727484794293,0.29239071632465774,0.20914918656800027,7416.5,2048.2239054035736,1465.109320532021
