tag,config_id,variant,label,seed,run,offered,refused,received,pdr,goodput_kbps,delay_ms,jitter_ms,hops,control_packets,control_bytes,nrl
aodv-c18a6026_n50_v10_p0_f10_d3d689e9_s1_r1,d3d689e9,aodv-c18a6026,aodv-h-destonly,1,1,7188,0,6682,0.92960489705064,152.39902714449144,32.36958844657289,26.653586630695447,3.466477102663873,25661,1301760,3.84031727027836
aodv-c18a6026_n50_v10_p0_f10_d3d689e9_s1_r2,d3d689e9,aodv-c18a6026,aodv-h-destonly,1,2,7179,0,6544,0.9115475692993453,149.43795434442458,21.110574266503672,17.244470768288952,2.9755501222493885,23181,1175832,3.542328850855746
aodv-c18a6026_n50_v10_p0_f10_d3d689e9_s1_r3,d3d689e9,aodv-c18a6026,aodv-h-destonly,1,3,7182,0,6509,0.9062935115566695,148.56533127219208,24.55046243662622,18.98957224188337,2.3874635120602243,20302,1027004,3.1190659087417423
aodv-c18a6026_n50_v10_p0_f10_d3d689e9_s1_r4,d3d689e9,aodv-c18a6026,aodv-h-destonly,1,4,7182,0,6228,0.8671679197994987,142.17681245989917,17.970905587668593,15.28029430685108,2.573859987154785,19574,987276,3.142903018625562
aodv-c18a6026_n50_v10_p0_f10_d3d689e9_s1_r5,d3d689e9,aodv-c18a6026,aodv-h-destonly,1,5,7183,0,6800,0.946679660309063,155.20550930535393,14.900052941176472,13.424126656848305,2.466176470588235,20867,1053668,3.0686764705882354
aodv-c18a6026_n50_v10_p0_f10_d3d689e9_s1_r6,d3d689e9,aodv-c18a6026,aodv-h-destonly,1,6,7186,0,6119,0.851516838296688,139.67129307410403,35.8873541428338,25.515472254051392,3.4582448112436674,23296,1180340,3.8071580323582284
aodv-c18a6026_n50_v10_p0_f10_d3d689e9_s1_r7,d3d689e9,aodv-c18a6026,aodv-h-destonly,1,7,7194,0,5936,0.8251320544898526,135.2930033862043,45.1347641509434,30.55797333783328,3.073955525606469,23757,1205836,4.002190026954178
aodv-c18a6026_n50_v10_p0_f10_d3d689e9_s1_r8,d3d689e9,aodv-c18a6026,aodv-h-destonly,1,8,7190,0,6780,0.9429763560500696,154.60698208474716,20.24760324483776,15.037692762186117,2.529203539823009,18628,938884,2.7474926253687317
aodv-c18a6026_n50_v10_p0_f10_d3d689e9_s1_r9,d3d689e9,aodv-c18a6026,aodv-h-destonly,1,9,7186,0,6085,0.8467854160868356,138.80985814270224,15.067906327033688,12.932814814814819,2.410024650780608,18670,938912,3.0682004930156124
aodv-c18a6026_n50_v10_p0_f10_d3d689e9_s1_r10,d3d689e9,aodv-c18a6026,aodv-h-destonly,1,10,7186,0,6808,0.9473977177845812,155.3480971976063,23.029196533490015,19.07574433656958,2.8741186839012927,22764,1158440,3.3437132784958874
