config_id,label,reference,pairs,pdr_diff,pdr_ci95,goodput_kbps_diff,goodput_kbps_ci95,delay_ms_diff,delay_ms_ci95,jitter_ms_diff,jitter_ms_ci95,hops_diff,hops_ci95,nrl_diff,nrl_ci95,control_packets_diff,control_packets_ci95
d3d689e9,aodv-h-art10,aodv-ns3-default,10,-0.04174740295486186,0.044470522780482406,-6.8494845314773425,7.287439761429039,-5.71356211889384,2.926559364956536,-4.402525945468575,2.142511811786002,-0.06487986500511793,0.08917415417387048,-2.5384523532810563,0.46320914275070124,-17690.4,3215.8323671156495
d3d689e9,aodv-h-art6,aodv-ns3-default,10,-0.01867320627415788,0.04160397179530692,-3.0633012849412964,6.822134091668553,-3.766899448453402,2.2682839969461392,-3.0056879928772804,1.6171773623617927,0.007043143335515723,0.04801963003519488,-1.9035707635419012,0.6126197580815552,-12979.9,2537.7022246251117
d3d689e9,aodv-h-destonly,aodv-ns3-default,10,0.028676533804412783,0.04547995208275025,4.700610975756717,7.452755167777232,8.423220542906769,6.282946610752624,5.398130211211852,2.856749496770086,0.12069438900118809,0.07363217401454811,-4.598460661517128,0.95282540479165,-28000.6,5702.564251766519
d3d689e9,aodv-h-destonly-art6,aodv-ns3-default,10,0.03327062732945483,0.04321275411307096,5.455426483786195,7.082363471390724,6.679492170215333,6.801423631552708,2.8020383454711344,2.289617722238083,0.13125317873746742,0.052007966423391574,-4.95358023682026,0.9481492316124065,-30175.8,5928.343820481414
d3d689e9,aodv-h-destonly-hello2s,aodv-ns3-default,10,0.009832846034880372,0.040708870995051404,1.6131877007804776,6.6801112644390095,6.381808902783497,3.8071326499965683,3.6075452069566722,2.302584321199099,0.119728811042871,0.0587101088826982,-5.624435906881063,0.9753701960534151,-34879.6,5804.921976007243
d3d689e9,aodv-h-hello2s,aodv-ns3-default,10,-0.042547725128166125,0.0798808281730971,-6.974992827598553,13.099183333583028,-5.071254440146452,3.1872155571338174,-3.6237674428943407,2.3906517116247383,-0.08076231236680939,0.12458242544666205,-3.2273564215017094,0.6701634713638448,-21524.7,4188.720272337359
d3d689e9,aodv-h-nograt,aodv-ns3-default,10,0.0017646957767597838,0.069008737444824,0.2926011090732004,11.302244151615522,-5.76982091361907,2.6986232750840284,-4.150246379708768,2.2245509462676694,-0.023375313402570087,0.08808182721027927,-1.8902919256153687,0.6548537945283825,-11845.8,4374.365292146891
d3d689e9,aodv-h-retries4,aodv-ns3-default,10,0.003035604726647967,0.011120926598005927,0.4955694523108889,1.821338364084253,10.301112378498926,17.360400793033712,0.9344059325305161,1.580798401304549,0.022973654034630097,0.02824578572303718,-0.11891179965921647,0.14289182712812698,-546.0,602.7878924736295
d3d689e9,aodv-h-ttl3,aodv-ns3-default,10,-0.005169840753247756,0.05193320469313979,-0.8493972165394752,8.51169941125702,-1.5920777215104152,2.730460373240224,0.12200448042788263,1.9454735743247762,0.0127599374107358,0.06849095567560845,-0.1757006844053537,0.9056176688103914,-1971.7,2888.3243297921304
d3d689e9,aodv-n-art10,aodv-ns3-default,10,-0.04576295728008363,0.032745233843983895,-7.5123366964858205,5.371807834913167,-4.087920546419017,3.5736665508576966,-4.148883083533005,2.4296205530565054,0.0025627824221229113,0.06649795047252577,-4.640612440628962,0.9833912661658764,-29914.5,5717.888367058961
d3d689e9,aodv-n-nblife5,aodv-ns3-default,10,-0.083664988626905,0.05477655587587033,-13.73205948620695,8.981184130476214,-3.095461455488965,3.4764936878573924,-3.370138166882105,2.2928253317235052,-0.10290273750163062,0.12337329006583077,-4.94326283720739,0.8112173077927822,-32647.3,5476.689368203856
d3d689e9,aodv-n-nblife5-art10,aodv-ns3-default,10,-0.08546398916984495,0.0486527696084261,-14.030134546867043,7.980472313300038,-2.6697636674832474,5.061908781308357,-3.815866826767434,2.733731521981917,-0.08125003308777642,0.0886706243358084,-5.634718459400174,0.9254656331259831,-36499.6,5875.9426394196735
d3d689e9,aodv-no-hello,aodv-ns3-default,10,-0.06200908629022108,0.0795120146008947,-10.169692981517183,13.043582795169968,-1.9853037568305472,2.046871655349011,-1.6456986880889812,1.4288445208177678,-0.029579201869549498,0.10171346799613795,-2.984901096782603,1.069197009166679,-19727.0,7397.638788716574
d3d689e9,odr,aodv-ns3-default,10,0.0846374115351293,0.036958626059785414,13.877077246075192,6.058248418642418,5.576620057410778,10.240410331028743,-1.1934569716246923,1.9974959970040551,0.13755124525063023,0.05033926542733438,-6.885192510565926,0.9631401679269015,-42254.1,5761.197868915946
